Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,library
prerank,Insulin signaling pathway,-0.3443202054983415,-1.2492466525003858,0.0707070707070707,0.810879128425543,1.0,65/125,44.86%,SHC2;IRS1;PPP1R3E;FOXO1;PDE3B;PRKAB2;PRKAR2B;PPP1R3F;GCK;HKDC1;MAPK8;PIK3CB;PRKACB;TSC1;RPS6;GYS2;PIK3CA;RPS6KB1;ACACB;HK2;LIPE;PHKA2;SOS2;PPARGC1A;MAPK9;PIK3CD;CBL;PRKCI;PYGL;SOCS4;PYGB;SOS1;MTOR;NRAS;EXOC7;BRAF;PRKAA1;PRKAR1A;PRKACG;PTPN1;CALML6;PHKB;GSK3B;CRKL;PTPRF;IKBKB;RPTOR;AKT3;PRKAR2A;PPP1CC;ACACA;PDPK1;PRKAG2;CBLB;SORBS1;PPP1CB;KRAS;MAPK1;MAP2K1;RHOQ;PIK3R1;SREBF1;MAPK10;PHKG1;CALML4,KEGG,KEGG_2021_Human
prerank,Bladder cancer,0.20298303704045545,1.2406836256339397,0.0,0.4055928738317757,0.63,9/40,8.59%,CDKN2A;MMP9;E2F1;ERBB2;RASSF1;MAPK3;MMP1;HRAS;MAP2K2,KEGG,KEGG_2021_Human
prerank,Insulin resistance,-0.3508641199008059,-1.2366609308195273,0.1414141414141414,0.8764503227727116,1.0,43/95,38.96%,TBC1D4;IRS1;NOS3;PPP1R3E;FOXO1;PRKAB2;RPS6KA2;MAPK8;MLXIP;PIK3CB;GYS2;PIK3CA;RPS6KB1;ACACB;PPARGC1B;OGT;SLC27A5;CREB1;RPS6KA3;PPARGC1A;MAPK9;PIK3CD;PYGL;PYGB;MTOR;GFPT2;CREB5;PRKCE;CREB3L4;PRKAA1;PTPN1;NFKB1;GSK3B;PTPRF;PTPN11;PRKCQ;IKBKB;GFPT1;AKT3;PPP1CC;IL6;PDPK1;PRKAG2,KEGG,KEGG_2021_Human
prerank,Amino sugar and nucleotide sugar metabolism,-0.37586720339186913,-1.236086054554592,0.1717171717171717,0.855671915870795,1.0,19/45,33.96%,MPI;UXS1;PGM3;GNE;GCK;HKDC1;GALT;PGM2;CYB5RL;HK2;GNPDA2;GFPT2;UGDH;CYB5R2;GMPPB;FPGT;CYB5R4;GNPNAT1;GFPT1,KEGG,KEGG_2021_Human
prerank,Gastric cancer,-0.3406297544131283,-1.2322103923209489,0.1,0.8579359949771015,1.0,32/128,17.98%,REG4;LEF1;TCF7;WNT7A;MYC;LRP6;AXIN2;SHC2;FZD6;LRP5;WNT3;TGFBR2;WNT16;TGFB3;EGF;FGF9;BCL2;SMAD4;CTNNB1;PIK3CB;CDH1;PIK3CA;RPS6KB1;MLH1;GAB1;CDKN1B;SMAD3;RARB;FZD3;SMAD2;SOS2;TERT,KEGG,KEGG_2021_Human
prerank,Arginine and proline metabolism,-0.3743604971750917,-1.2238512226128218,0.13402061855670103,0.8980847121682178,1.0,12/43,22.35%,AGMAT;NOS3;ALDH3A2;ALDH7A1;GATM;ODC1;PRODH;AMD1;L3HYPDH;ALDH9A1;GOT1;AZIN2,KEGG,KEGG_2021_Human
prerank,Glycolysis / Gluconeogenesis,-0.35685006157251836,-1.2121822801296167,0.15,0.9514537158668492,1.0,25/58,39.47%,LDHB;ALDH3A2;ALDH7A1;ALDH3B2;PGAM4;GCK;HKDC1;PGM2;GAPDHS;HK2;DLD;PGAM2;ADH1A;PFKM;ALDH9A1;LDHAL6A;ADH4;DLAT;PDHA1;ACSS1;ADPGK;ADH6;ACSS2;MINPP1;ADH5,KEGG,KEGG_2021_Human
prerank,Peroxisome,-0.33834762865026413,-1.2113788364168037,0.15151515151515152,0.9324543827899636,1.0,40/77,42.79%,EPHX2;NUDT12;ACSL6;PEX3;ABCD2;AMACR;PEX12;ABCD3;GNPAT;PEX1;PEX13;PEX7;MLYCD;PEX19;CROT;PECR;MPV17L;PEX10;PEX2;PEX5;AGPS;CAT;HACL1;NUDT19;PHYH;ABCD4;FAR1;PEX26;PEX5L;HSD17B4;ACSL3;PXMP4;SOD2;SLC25A17;ECI2;IDH1;FAR2;ACOX3;PEX11B;ACOX1,KEGG,KEGG_2021_Human
prerank,Phosphonate and phosphinate metabolism,-0.6049240409911183,-1.2027820532662379,0.22666666666666666,0.9750135894784292,1.0,3/5,34.98%,CEPT1;PCYT1B;CHPT1,KEGG,KEGG_2021_Human
prerank,beta-Alanine metabolism,-0.3931134876024809,-1.1943878589507668,0.24468085106382978,1.0,1.0,9/29,24.31%,ALDH3A2;ALDH7A1;ALDH3B2;HIBCH;ABAT;ALDH9A1;MLYCD;HADHA;ALDH6A1,KEGG,KEGG_2021_Human
